arquivo,mi,rank_mi
cleanlab/classification.py,23.4256,A
cleanlab/internal/neighbor/knn_graph.py,27.4178,A
cleanlab/multiannotator.py,29.397,A
cleanlab/internal/token_classification_utils.py,32.1771,A
cleanlab/internal/multilabel_scorer.py,37.1111,A
cleanlab/internal/multiannotator_utils.py,37.5895,A
cleanlab/object_detection/rank.py,37.8736,A
cleanlab/datalab/internal/task.py,37.9244,A
cleanlab/regression/learn.py,38.1556,A
cleanlab/internal/latent_algebra.py,38.5484,A
cleanlab/count.py,40.5876,A
cleanlab/experimental/label_issues_batched.py,41.8418,A
cleanlab/filter.py,41.8551,A
cleanlab/experimental/mnist_pytorch.py,42.5652,A
cleanlab/datalab/datalab.py,42.9536,A
cleanlab/datalab/internal/issue_manager/outlier.py,43.2159,A
cleanlab/object_detection/summary.py,43.3574,A
cleanlab/internal/util.py,43.8443,A
cleanlab/internal/neighbor/metric.py,44.3575,A
cleanlab/datalab/internal/adapter/imagelab.py,46.481,A
cleanlab/datalab/internal/issue_finder.py,47.2268,A
cleanlab/token_classification/rank.py,48.3684,A
cleanlab/datalab/internal/issue_manager/underperforming_group.py,49.501,A
cleanlab/data_valuation.py,49.9711,A
cleanlab/datalab/internal/data.py,51.0476,A
cleanlab/outlier.py,51.3533,A
cleanlab/datalab/internal/issue_manager/noniid.py,51.482,A
cleanlab/object_detection/filter.py,51.7006,A
cleanlab/benchmarking/noise_generation.py,52.218,A
cleanlab/internal/outlier.py,52.856,A
cleanlab/internal/validation.py,53.2197,A
cleanlab/rank.py,54.9783,A
cleanlab/datalab/internal/data_issues.py,54.994,A
cleanlab/datalab/internal/issue_manager/issue_manager.py,55.9143,A
cleanlab/datalab/internal/display.py,56.3271,A
cleanlab/dataset.py,56.5289,A
cleanlab/segmentation/summary.py,56.6049,A
cleanlab/__init__.py,56.974,A
cleanlab/token_classification/summary.py,57.8851,A
cleanlab/internal/object_detection_utils.py,60.4986,A
cleanlab/datalab/internal/issue_manager/label.py,60.6796,A
cleanlab/datalab/internal/issue_manager/duplicate.py,61.5445,A
cleanlab/datalab/internal/issue_manager/knn_graph_helpers.py,62.5383,A
cleanlab/segmentation/filter.py,62.5824,A
cleanlab/multilabel_classification/dataset.py,63.5919,A
cleanlab/experimental/coteaching.py,64.0535,A
cleanlab/segmentation/rank.py,64.4826,A
cleanlab/internal/label_quality_utils.py,66.2057,A
cleanlab/datalab/internal/serialize.py,66.9515,A
cleanlab/datalab/internal/issue_manager/regression/label.py,67.8413,A
cleanlab/regression/rank.py,68.3509,A
cleanlab/datalab/internal/report.py,68.7749,A
cleanlab/datalab/internal/issue_manager/identifier_column.py,69.5715,A
cleanlab/datalab/internal/issue_manager/data_valuation.py,70.1503,A
cleanlab/internal/multilabel_utils.py,70.2681,A
cleanlab/multilabel_classification/filter.py,71.173,A
cleanlab/datalab/internal/issue_manager/null.py,71.5918,A
cleanlab/datalab/internal/issue_manager/imbalance.py,72.9714,A
cleanlab/datalab/internal/model_outputs.py,74.1099,A
cleanlab/datalab/internal/spurious_correlation.py,74.7067,A
cleanlab/datalab/internal/issue_manager_factory.py,74.8528,A
cleanlab/datalab/internal/issue_manager/multilabel/label.py,75.9903,A
cleanlab/internal/regression_utils.py,76.3097,A
cleanlab/internal/numerics.py,78.0568,A
cleanlab/internal/segmentation_utils.py,80.6538,A
cleanlab/datalab/internal/helper_factory.py,85.0736,A
cleanlab/experimental/cifar_cnn.py,87.8754,A
cleanlab/internal/constants.py,89.3725,A
cleanlab/experimental/span_classification.py,91.8703,A
cleanlab/typing.py,100.0,A
cleanlab/version.py,100.0,A
cleanlab/benchmarking/__init__.py,100.0,A
cleanlab/datalab/__init__.py,100.0,A
cleanlab/datalab/internal/__init__.py,100.0,A
cleanlab/datalab/internal/adapter/constants.py,100.0,A
cleanlab/datalab/internal/adapter/__init__.py,100.0,A
cleanlab/datalab/internal/issue_manager/__init__.py,100.0,A
cleanlab/datalab/internal/issue_manager/multilabel/__init__.py,100.0,A
cleanlab/datalab/internal/issue_manager/regression/__init__.py,100.0,A
cleanlab/experimental/__init__.py,100.0,A
cleanlab/internal/__init__.py,100.0,A
cleanlab/internal/neighbor/search.py,100.0,A
cleanlab/internal/neighbor/__init__.py,100.0,A
cleanlab/models/__init__.py,100.0,A
cleanlab/multilabel_classification/rank.py,100.0,A
cleanlab/multilabel_classification/__init__.py,100.0,A
cleanlab/object_detection/__init__.py,100.0,A
cleanlab/regression/__init__.py,100.0,A
cleanlab/segmentation/__init__.py,100.0,A
cleanlab/token_classification/filter.py,100.0,A
cleanlab/token_classification/__init__.py,100.0,A
